cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,261,378,117,44.827586206896555
$_AND_,5342,5275,-67,-1.2542119056533134
$_DFFE_PP0P_,1026,1055,29,2.8265107212475633
$_DFFE_PP1P_,0,1,1,
$_DFF_PP0_,29,0,-29,-100.0
$_DFF_PP1_,1,0,-1,-100.0
$_MUX_,1404,1358,-46,-3.276353276353276
$_NAND_,9123,9232,109,1.1947824180642332
$_NOR_,77,121,44,57.14285714285714
$_NOT_,124,138,14,11.29032258064516
$_ORNOT_,1439,777,-662,-46.00416956219597
$_OR_,800,1537,737,92.125
$_XNOR_,2119,2194,75,3.5394053798961775
$_XOR_,2990,2841,-149,-4.983277591973244
