partition	root_module	action	source	build_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.000
singlecycle_ctlpath	singlecycle_ctlpath	rebuild	new_synthesis	0.21
singlecycle_datapath	singlecycle_datapath	reuse	base_cache	0.000
