partition	root_module	action	source	action_wall_seconds	yosys_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.008318	0.000000
immediate_generator	immediate_generator	reuse	base_cache	0.007351	0.000000
instruction_decoder	instruction_decoder	reuse	base_cache	0.006616	0.000000
singlecycle_ctlpath	singlecycle_ctlpath	rebuild	new_synthesis	0.290641	0.22
singlecycle_datapath	singlecycle_datapath	reuse	base_cache	0.022292	0.000000
