Method,Median runtime (s),Speedup vs Full,Time reduction (%),Area,Area overhead (%)
Full,2.340000,1.000000,0.000000,11386.396,0.000000
Coarse incremental,2.266394,1.032477,3.145556,11640.426,2.230996
Fine incremental,2.444310,0.957325,-4.457692,11643.086,2.254357
