iteration,order,full_seconds,coarse_seconds,fine_seconds,coarse_speedup,fine_speedup,coarse_rebuild_count,fine_dirty_region_count,fine_reusable_region_count,fine_potential_reuse_ratio,fine_rebuild_yosys_seconds
1,full-coarse-fine,2.35,2.266394,2.444359,1.036889,0.961397,1,1,2,0.9145299145299145,0.14
2,coarse-fine-full,2.34,2.248532,2.429771,1.040679,0.963054,1,1,2,0.9145299145299145,0.14
3,fine-full-coarse,2.34,2.242092,2.459518,1.043668,0.951406,1,1,2,0.9145299145299145,0.14
4,full-coarse-fine,2.34,2.311766,2.44431,1.012213,0.957325,1,1,2,0.9145299145299145,0.14
5,coarse-fine-full,2.34,2.301039,2.442665,1.016932,0.957970,1,1,2,0.9145299145299145,0.14
