cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,195,211,16,8.205128205128204
$_AND_,1320,1422,102,7.727272727272727
$_DFFE_PP0P_,2,31,29,1450.0
$_DFFE_PP1P_,0,1,1,
$_DFFE_PP_,992,992,0,0.0
$_DFF_PP0_,29,0,-29,-100.0
$_DFF_PP1_,1,0,-1,-100.0
$_MUX_,1284,1277,-7,-0.5451713395638629
$_NAND_,1890,1933,43,2.2751322751322753
$_NOR_,290,331,41,14.13793103448276
$_NOT_,25,29,4,16.0
$_ORNOT_,685,684,-1,-0.145985401459854
$_OR_,640,597,-43,-6.71875
$_XNOR_,55,57,2,3.6363636363636362
$_XOR_,74,58,-16,-21.62162162162162
