partition	root_module	action	source	action_wall_seconds	yosys_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.008270	0.000000
singlecycle_ctlpath	singlecycle_ctlpath	reuse	base_cache	0.009017	0.000000
singlecycle_datapath	singlecycle_datapath	reuse	base_cache	0.036426	0.000000
