cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,441,319,-122,-27.66439909297052
$_AND_,3855,3977,122,3.1647211413748377
$_DFFE_PP0P_,2,31,29,1450.0
$_DFFE_PP1P_,0,1,1,
$_DFFE_PP_,992,992,0,0.0
$_DFF_PP0_,29,0,-29,-100.0
$_DFF_PP1_,1,0,-1,-100.0
$_MUX_,2442,2592,150,6.142506142506143
$_NAND_,7814,7770,-44,-0.5630918863578193
$_NOR_,281,197,-84,-29.8932384341637
$_NOT_,142,105,-37,-26.056338028169012
$_ORNOT_,1969,1763,-206,-10.462163534789234
$_OR_,1451,1259,-192,-13.232253618194347
$_XNOR_,2090,1964,-126,-6.028708133971292
$_XOR_,2989,3123,134,4.483104717296755
