partition	root_module	action	source	action_wall_seconds	yosys_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.008159	0.000000
singlecycle_ctlpath	singlecycle_ctlpath	rebuild	new_synthesis	0.286405	0.21
singlecycle_datapath	singlecycle_datapath	reuse	base_cache	0.018889	0.000000
