partition	root_module	action	status	method	detail
data_memory_interface	data_memory_interface	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
immediate_generator	immediate_generator	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
instruction_decoder	instruction_decoder	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
singlecycle_ctlpath	singlecycle_ctlpath	rebuild	PASS	identical_new_reference	independent_New_rebuild_is_byte_identical
singlecycle_datapath	singlecycle_datapath	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
