cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,180,199,19,10.555555555555555
$_AND_,1277,1325,48,3.7588097102584186
$_DFFE_PP_,992,992,0,0.0
$_MUX_,1303,1369,66,5.065234075211052
$_NAND_,1887,1837,-50,-2.6497085320614735
$_NOR_,249,289,40,16.06425702811245
$_NOT_,22,26,4,18.181818181818183
$_ORNOT_,753,659,-94,-12.48339973439575
$_OR_,656,603,-53,-8.079268292682928
$_SDFFE_PP0P_,2,31,29,1450.0
$_SDFFE_PP1P_,0,1,1,
$_SDFF_PP0_,29,0,-29,-100.0
$_SDFF_PP1_,1,0,-1,-100.0
$_XNOR_,59,60,1,1.694915254237288
$_XOR_,66,60,-6,-9.090909090909092
