partition	root_module	action	status	method	detail
cs_registers_i	cv32e40p_cs_registers$cv32e40p_core.cs_registers_i	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
ex_stage_i	cv32e40p_ex_stage$cv32e40p_core.ex_stage_i	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
id_stage_i	cv32e40p_id_stage$cv32e40p_core.id_stage_i	rebuild	PASS	identical_new_reference	independent_New_rebuild_is_byte_identical
if_stage_i	cv32e40p_if_stage$cv32e40p_core.if_stage_i	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
load_store_unit_i	cv32e40p_load_store_unit$cv32e40p_core.load_store_unit_i	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
sleep_unit_i	cv32e40p_sleep_unit$cv32e40p_core.sleep_unit_i	reuse	PASS	certified_reuse	same_interface+same_IR+same_environment+exact_base_cache_copy
