partition	root_module	action	source	action_wall_seconds	yosys_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.007542	0.000000
immediate_generator	immediate_generator	reuse	base_cache	0.007944	0.000000
instruction_decoder	instruction_decoder	reuse	base_cache	0.006737	0.000000
singlecycle_ctlpath	singlecycle_ctlpath	reuse	base_cache	0.005091	0.000000
singlecycle_datapath	singlecycle_datapath	rebuild	new_synthesis	20.906102	20.83
