partition	root_module	action	source	action_wall_seconds	yosys_seconds
data_memory_interface	data_memory_interface	reuse	base_cache	0.006526	0.000000
singlecycle_ctlpath	singlecycle_ctlpath	rebuild	new_synthesis	0.261135	0.20
singlecycle_datapath	singlecycle_datapath	reuse	base_cache	0.017848	0.000000
