partition	root_module	real_seconds
data_memory_interface	data_memory_interface	0.04
immediate_generator	immediate_generator	0.05
instruction_decoder	instruction_decoder	0.05
singlecycle_ctlpath	singlecycle_ctlpath	0.06
singlecycle_datapath	singlecycle_datapath	0.11
