cell_type,full_count,incremental_count,delta,delta_percent
$_ANDNOT_,375,554,179,47.733333333333334
$_AND_,3841,3939,98,2.551418901327779
$_DFFE_PP0P_,2,31,29,1450.0
$_DFFE_PP1P_,0,1,1,
$_DFFE_PP_,992,992,0,0.0
$_DFF_PP0_,29,0,-29,-100.0
$_DFF_PP1_,1,0,-1,-100.0
$_MUX_,2394,2191,-203,-8.47953216374269
$_NAND_,7968,8180,212,2.6606425702811247
$_NOR_,313,433,120,38.33865814696485
$_NOT_,87,62,-25,-28.735632183908045
$_ORNOT_,1869,1303,-566,-30.28357410379882
$_OR_,1536,2070,534,34.765625
$_XNOR_,2112,2231,119,5.634469696969697
$_XOR_,2988,2880,-108,-3.614457831325301
